"city","year","one_theaters","two_theaters","operas_city","operas_city_annals","operas_city_amazon","operas_city_met","city1","copyright_post1801","less_1000","more_1000"
"bologna",1811,1,0,0,0,0,0,3,0,1,0
"bologna",1812,1,0,1,0,0,0,3,0,1,0
"bologna",1813,1,0,0,0,0,0,3,0,1,0
"bologna",1814,1,0,0,0,0,0,3,0,1,0
"bologna",1815,1,0,0,0,0,0,3,0,1,0
"bologna",1816,1,0,0,0,0,0,3,0,1,0
"bologna",1817,1,0,0,0,0,0,3,0,1,0
"bologna",1818,1,0,1,0,0,0,3,0,1,0
"bologna",1819,1,0,0,0,0,0,3,0,1,0
"bologna",1820,1,0,0,0,0,0,3,0,1,0
"brescia",1781,1,0,0,0,0,0,4,0,1,0
"brescia",1782,1,0,0,0,0,0,4,0,1,0
"brescia",1783,1,0,0,0,0,0,4,0,1,0
"brescia",1784,1,0,0,0,0,0,4,0,1,0
"brescia",1785,1,0,0,0,0,0,4,0,1,0
"brescia",1786,1,0,0,0,0,0,4,0,1,0
"brescia",1787,1,0,0,0,0,0,4,0,1,0
"brescia",1788,1,0,1,0,0,0,4,0,1,0
"brescia",1789,1,0,0,0,0,0,4,0,1,0
"brescia",1790,1,0,0,0,0,0,4,0,1,0
"brescia",1791,1,0,0,0,0,0,4,0,1,0
"brescia",1792,1,0,1,1,0,1,4,0,1,0
"brescia",1793,1,0,0,0,0,0,4,0,1,0
"brescia",1794,1,0,1,0,0,0,4,0,1,0
"brescia",1795,1,0,0,0,0,0,4,0,1,0
"brescia",1796,1,0,0,0,0,0,4,0,1,0
"brescia",1797,1,0,0,0,0,0,4,0,1,0
"brescia",1798,1,0,0,0,0,0,4,0,1,0
"brescia",1799,1,0,0,0,0,0,4,0,1,0
"brescia",1800,1,0,0,0,0,0,4,0,1,0
"brescia",1801,1,0,1,0,0,0,4,1,1,0
"brescia",1802,1,0,1,0,0,0,4,1,1,0
"brescia",1803,1,0,0,0,0,0,4,1,1,0
"brescia",1804,1,0,1,0,0,0,4,1,1,0
"brescia",1805,1,0,1,0,0,0,4,1,1,0
"brescia",1806,1,0,0,0,0,0,4,1,1,0
"brescia",1807,1,0,1,0,0,0,4,1,1,0
"brescia",1808,1,0,1,0,1,0,4,1,1,0
"brescia",1809,1,0,1,1,0,0,4,1,1,0
"brescia",1810,1,0,1,0,0,0,4,1,1,0
"brescia",1811,1,0,0,0,0,0,4,1,1,0
"brescia",1812,1,0,0,0,0,0,4,1,1,0
"brescia",1813,1,0,1,0,1,0,4,1,1,0
"brescia",1814,1,0,0,0,0,0,4,1,1,0
"brescia",1815,1,0,1,0,0,1,4,1,1,0
"brescia",1816,1,0,0,0,0,0,4,1,1,0
"brescia",1817,1,0,0,0,0,0,4,1,1,0
"brescia",1818,1,0,0,0,0,0,4,1,1,0
"brescia",1819,1,0,1,0,0,0,4,1,1,0
"brescia",1820,1,0,0,0,0,0,4,1,1,0
"ferrara",1781,0,1,0,0,0,0,5,0,1,0
"ferrara",1782,0,1,0,0,0,0,5,0,1,0
"ferrara",1783,0,1,0,0,0,0,5,0,1,0
"ferrara",1784,0,1,0,0,0,0,5,0,1,0
"ferrara",1785,0,1,0,0,0,0,5,0,1,0
"ferrara",1786,0,1,0,0,0,0,5,0,1,0
"ferrara",1787,0,1,0,0,0,0,5,0,1,0
"ferrara",1788,0,1,0,0,0,0,5,0,1,0
"ferrara",1789,0,1,0,0,0,0,5,0,1,0
"ferrara",1790,0,1,0,0,0,0,5,0,1,0
"ferrara",1791,0,1,0,0,0,0,5,0,1,0
"ferrara",1792,0,1,0,0,0,0,5,0,1,0
"ferrara",1793,0,1,0,0,0,0,5,0,1,0
"ferrara",1794,0,1,0,0,0,0,5,0,1,0
"ferrara",1795,0,1,0,0,0,0,5,0,1,0
"ferrara",1796,0,1,0,0,0,0,5,0,1,0
