"state","year","operas","operas_annals","operas_amazon","operas_met","copyright_post1801","state1","basic_copyright","extend_life30","extend_life40"
"d_modena",1770,0,0,0,0,NA,1,0,0,0
"d_modena",1771,0,0,0,0,NA,1,0,0,0
"d_modena",1772,0,0,0,0,NA,1,0,0,0
"d_modena",1773,0,0,0,0,NA,1,0,0,0
"d_modena",1774,0,0,0,0,NA,1,0,0,0
"d_modena",1775,0,0,0,0,NA,1,0,0,0
"d_modena",1776,0,0,0,0,NA,1,0,0,0
"d_modena",1777,0,0,0,0,NA,1,0,0,0
"d_modena",1778,0,0,0,0,NA,1,0,0,0
"d_modena",1779,0,0,0,0,NA,1,0,0,0
"d_modena",1780,0,0,0,0,NA,1,0,0,0
"d_modena",1781,1,0,0,0,0,1,0,0,0
"d_modena",1782,1,0,0,0,0,1,0,0,0
"d_modena",1783,1,0,0,0,0,1,0,0,0
"d_modena",1784,1,0,0,0,0,1,0,0,0
"d_modena",1785,1,0,0,0,0,1,0,0,0
"d_modena",1786,1,0,0,0,0,1,0,0,0
"d_modena",1787,1,0,0,0,0,1,0,0,0
"d_modena",1788,1,0,0,0,0,1,0,0,0
"d_modena",1789,1,0,0,0,0,1,0,0,0
"d_modena",1790,1,0,0,0,0,1,0,0,0
"d_modena",1791,1,0,0,0,0,1,0,0,0
"d_modena",1792,1,0,0,0,0,1,0,0,0
"d_modena",1793,1,0,0,0,0,1,0,0,0
"d_modena",1794,1,0,0,0,0,1,0,0,0
"d_modena",1795,1,0,0,0,0,1,0,0,0
"d_modena",1796,1,0,0,0,0,1,0,0,0
"d_modena",1797,1,0,0,0,0,1,0,0,0
"d_modena",1798,1,0,0,0,0,1,0,0,0
"d_modena",1799,1,0,0,0,0,1,0,0,0
"d_modena",1800,1,0,0,0,0,1,0,0,0
"d_modena",1801,1,0,0,0,0,1,0,0,0
"d_modena",1802,1,0,0,0,0,1,0,0,0
"d_modena",1803,1,0,0,0,0,1,0,0,0
"d_modena",1804,1,0,0,0,0,1,0,0,0
"d_modena",1805,1,0,0,0,0,1,0,0,0
"d_modena",1806,1,0,0,0,0,1,0,0,0
"d_modena",1807,1,0,0,0,0,1,0,0,0
"d_modena",1808,1,0,0,0,0,1,0,0,0
"d_modena",1809,1,0,0,0,0,1,0,0,0
"d_modena",1810,1,0,0,0,0,1,0,0,0
"d_modena",1811,1,0,0,0,0,1,0,0,0
"d_modena",1812,1,0,0,0,0,1,0,0,0
"d_modena",1813,1,0,0,0,0,1,0,0,0
"d_modena",1814,1,0,0,0,0,1,0,0,0
"d_modena",1815,1,0,0,0,0,1,0,0,0
"d_modena",1816,1,0,0,0,0,1,0,0,0
"d_modena",1817,1,0,0,0,0,1,0,0,0
"d_modena",1818,1,0,0,0,0,1,0,0,0
"d_modena",1819,1,0,0,0,0,1,0,0,0
"d_modena",1820,1,0,0,0,0,1,0,0,0
"d_modena",1821,0,0,0,0,NA,1,0,0,0
"d_modena",1822,0,0,0,0,NA,1,0,0,0
"d_modena",1823,0,0,0,0,NA,1,0,0,0
"d_modena",1824,1,0,0,0,NA,1,0,0,0
"d_modena",1825,2,0,0,0,NA,1,0,0,0
"d_modena",1826,0,0,0,0,NA,1,0,0,0
"d_modena",1827,2,0,0,0,NA,1,0,0,0
"d_modena",1828,0,0,0,0,NA,1,0,0,0
"d_modena",1829,1,0,0,0,NA,1,0,0,0
"d_modena",1830,2,0,0,0,NA,1,0,0,0
"d_modena",1831,0,0,0,0,NA,1,0,0,0
"d_modena",1832,0,0,0,0,NA,1,0,0,0
"d_modena",1833,1,0,0,0,NA,1,0,0,0
"d_modena",1834,0,0,0,0,NA,1,0,0,0
"d_modena",1835,0,0,0,0,NA,1,0,0,0
"d_modena",1836,0,0,0,0,NA,1,0,0,0
"d_modena",1837,0,0,0,0,NA,1,0,0,0
"d_modena",1838,0,0,0,0,NA,1,0,0,0
"d_modena",1839,0,0,0,0,NA,1,0,0,0
"d_modena",1840,2,0,0,0,NA,1,1,1,0
"d_modena",1841,2,0,0,0,NA,1,1,1,0
"d_modena",1842,2,0,0,0,NA,1,1,1,0
"d_modena",1843,2,0,0,0,NA,1,1,1,0
"d_modena",1844,0,0,0,0,NA,1,1,1,0
"d_modena",1845,0,0,0,0,NA,1,1,1,0
"d_modena",1846,0,0,0,0,NA,1,1,1,0
"d_modena",1847,0,0,0,0,NA,1,1,1,0
"d_modena",1848,0,0,0,0,NA,1,1,1,0
"d_modena",1849,0,0,0,0,NA,1,1,1,0
"d_modena",1850,0,0,0,0,NA,1,1,1,0
"d_modena",1851,0,0,0,0,NA,1,1,1,0
"d_modena",1852,0,0,0,0,NA,1,1,1,0
"d_modena",1853,1,0,0,0,NA,1,1,1,0
"d_modena",1854,2,0,0,0,NA,1,1,1,0
"d_modena",1855,0,0,0,0,NA,1,1,1,0
"d_modena",1856,0,0,0,0,NA,1,1,1,0
"d_modena",1857,1,1,0,0,NA,1,1,1,0
"d_modena",1858,0,0,0,0,NA,1,1,1,0
"d_modena",1859,0,0,0,0,NA,1,1,1,0
"d_modena",1860,0,0,0,0,NA,1,1,1,0
"d_modena",1861,0,0,0,0,NA,1,1,0,0
"d_modena",1862,0,0,0,0,NA,1,1,0,0
"d_modena",1863,0,0,0,0,NA,1,1,0,0
"d_modena",1864,0,0,0,0,NA,1,1,0,0
"d_modena",1865,0,0,0,0,NA,1,1,0,1
"d_modena",1866,0,0,0,0,NA,1,1,0,1
"d_modena",1867,0,0,0,0,NA,1,1,0,1
"d_modena",1868,0,0,0,0,NA,1,1,0,1
"d_modena",1869,0,0,0,0,NA,1,1,0,1
"d_modena",1870,1,0,0,0,NA,1,1,0,1
"d_modena",1871,0,0,0,0,NA,1,1,0,1
"d_modena",1872,2,1,0,0,NA,1,1,0,1
"d_modena",1873,0,0,0,0,NA,1,1,0,1
"d_modena",1874,1,0,0,0,NA,1,1,0,1
"d_modena",1875,0,0,0,0,NA,1,1,0,1
"d_modena",1876,1,0,0,0,NA,1,1,0,1
"d_modena",1877,2,0,0,0,NA,1,1,0,1
"d_modena",1878,0,0,0,0,NA,1,1,0,1
"d_modena",1879,0,0,0,0,NA,1,1,0,1
"d_modena",1880,1,0,0,0,NA,1,1,0,1
"d_modena",1881,1,0,0,0,NA,1,1,0,1
"d_modena",1882,1,0,0,0,NA,1,1,0,1
"d_modena",1883,0,0,0,0,NA,1,1,0,1
"d_modena",1884,0,0,0,0,NA,1,1,0,1
"d_modena",1885,0,0,0,0,NA,1,1,0,1
"d_modena",1886,0,0,0,0,NA,1,1,0,1
"d_modena",1887,0,0,0,0,NA,1,1,0,1
"d_modena",1888,1,1,0,0,NA,1,1,0,1
"d_modena",1889,1,0,0,0,NA,1,1,0,1
"d_modena",1890,0,0,0,0,NA,1,1,0,1
"d_modena",1891,1,0,0,0,NA,1,1,0,1
"d_modena",1892,0,0,0,0,NA,1,1,0,1
"d_modena",1893,2,0,0,0,NA,1,1,0,1
"d_modena",1894,0,0,0,0,NA,1,1,0,1
"d_modena",1895,0,0,0,0,NA,1,1,0,1
"d_modena",1896,0,0,0,0,NA,1,1,0,1
"d_modena",1897,0,0,0,0,NA,1,1,0,1
"d_modena",1898,0,0,0,0,NA,1,1,0,1
"d_modena",1899,0,0,0,0,NA,1,1,0,1
"d_modena",1900,0,0,0,0,NA,1,1,0,1
"d_parma",1770,0,0,0,0,NA,2,0,0,0
"d_parma",1771,0,0,0,0,NA,2,0,0,0
"d_parma",1772,0,0,0,0,NA,2,0,0,0
"d_parma",1773,0,0,0,0,NA,2,0,0,0
"d_parma",1774,0,0,0,0,NA,2,0,0,0
"d_parma",1775,0,0,0,0,NA,2,0,0,0
"d_parma",1776,0,0,0,0,NA,2,0,0,0
"d_parma",1777,0,0,0,0,NA,2,0,0,0
"d_parma",1778,0,0,0,0,NA,2,0,0,0
"d_parma",1779,0,0,0,0,NA,2,0,0,0
"d_parma",1780,0,0,0,0,NA,2,0,0,0
"d_parma",1781,1,0,0,0,0,2,0,0,0
"d_parma",1782,1,0,0,0,0,2,0,0,0
"d_parma",1783,1,0,0,0,0,2,0,0,0
"d_parma",1784,1,0,0,0,0,2,0,0,0
"d_parma",1785,1,0,0,0,0,2,0,0,0
"d_parma",1786,1,0,0,0,0,2,0,0,0
"d_parma",1787,1,0,0,0,0,2,0,0,0
"d_parma",1788,1,0,0,0,0,2,0,0,0
"d_parma",1789,1,0,0,0,0,2,0,0,0
"d_parma",1790,1,0,0,0,0,2,0,0,0
"d_parma",1791,1,0,0,0,0,2,0,0,0
"d_parma",1792,1,1,0,1,0,2,0,0,0
"d_parma",1793,1,0,0,0,0,2,0,0,0
"d_parma",1794,1,0,0,0,0,2,0,0,0
"d_parma",1795,1,0,0,0,0,2,0,0,0
"d_parma",1796,1,0,0,0,0,2,0,0,0
"d_parma",1797,1,1,0,0,0,2,0,0,0
"d_parma",1798,1,1,0,0,0,2,0,0,0
