"state","year","d_modena","d_parma","gd_tuscany","lombardy","sardinia","venetia","two_sicilies","papal_state","migrant_composers"
"gd_tuscany",1797,0,0,0,0,0,0,0,0,NA
"gd_tuscany",1798,0,0,0,0,0,0,0,0,NA
"gd_tuscany",1799,0,0,0,0,0,0,0,0,NA
"gd_tuscany",1800,0,0,0,0,0,0,0,0,NA
"gd_tuscany",1801,0,0,0,0,0,0,0,0,NA
"gd_tuscany",1802,0,0,0,0,0,0,0,0,NA
"gd_tuscany",1803,0,0,0,0,0,0,0,0,NA
"gd_tuscany",1804,0,0,0,0,0,0,0,0,NA
"gd_tuscany",1805,0,0,0,0,0,0,0,1,1
"gd_tuscany",1806,0,0,0,0,0,0,0,0,NA
"gd_tuscany",1807,0,0,0,0,0,0,0,0,NA
"gd_tuscany",1808,0,0,0,0,0,0,1,0,1
"gd_tuscany",1809,0,0,0,0,0,0,0,0,NA
"gd_tuscany",1810,0,0,0,0,0,0,0,0,NA
"gd_tuscany",1811,0,0,0,0,0,0,0,0,1
"gd_tuscany",1812,0,0,0,0,0,0,0,0,NA
"gd_tuscany",1813,0,0,0,0,0,0,0,0,NA
"gd_tuscany",1814,0,0,0,0,0,0,0,0,NA
"gd_tuscany",1815,0,0,0,0,1,0,0,0,1
"gd_tuscany",1816,0,0,0,0,0,0,0,0,NA
"gd_tuscany",1817,0,0,0,0,0,0,0,0,NA
"gd_tuscany",1818,0,0,0,0,0,0,0,0,NA
"gd_tuscany",1819,0,0,0,0,0,0,0,0,NA
"gd_tuscany",1820,0,0,0,0,0,0,0,0,NA
"lombardy",1781,0,0,0,0,0,0,0,0,1
"lombardy",1782,0,0,0,0,0,0,0,0,1
"lombardy",1783,0,0,0,0,0,0,0,0,1
"lombardy",1784,0,0,0,0,0,0,0,0,NA
"lombardy",1785,0,0,0,0,0,0,0,0,NA
"lombardy",1786,0,0,0,0,0,0,0,0,1
"lombardy",1787,0,0,0,0,0,0,0,0,NA
"lombardy",1788,0,0,0,0,0,0,0,0,1
"lombardy",1789,0,0,0,0,0,0,0,0,1
"lombardy",1790,0,0,0,0,0,0,0,0,1
"lombardy",1791,0,0,0,0,0,0,0,0,NA
"lombardy",1792,0,0,0,0,0,0,0,0,1
