"composer_id","state1","year","post1801","copyright","copyright_post1801","returning_copyright_post1801","stayers_copyright_post1801","tot_operas","ret_france_austria","comp_operas","annals","met","amazon","returning","stayers"
1,6,1812,1,0,0,0,0,1,1,1,0,0,0,0,0
2,6,1812,1,0,0,0,0,1,1,1,0,0,0,0,0
3,4,1782,0,1,0,0,0,24,1,1,0,0,0,0,0
3,7,1788,0,0,0,0,0,24,1,2,0,0,0,0,0
3,5,1785,0,0,0,0,0,24,1,1,0,0,0,0,0
3,7,1790,0,0,0,0,0,24,1,1,0,0,0,0,0
3,4,1812,1,1,1,0,0,24,1,8,2,0,2,0,0
3,6,1781,0,0,0,0,0,24,1,1,0,0,0,0,0
3,5,1782,0,0,0,0,0,24,0,1,0,0,0,0,0
3,7,1791,0,0,0,0,0,24,1,1,0,0,0,0,0
3,6,1783,0,0,0,0,0,24,1,1,0,0,0,0,0
3,8,1783,0,1,0,0,0,24,1,1,0,0,0,0,0
3,8,1793,0,1,0,0,0,24,1,1,0,0,0,0,0
3,7,1803,1,0,0,0,0,24,1,2,0,0,0,0,0
3,7,1793,0,0,0,0,0,24,1,1,0,0,1,0,0
3,8,1781,0,1,0,0,0,24,1,1,0,0,0,0,0
3,7,1802,1,0,0,0,0,24,1,1,0,0,0,0,0
4,7,1820,1,0,0,0,0,1,1,1,0,0,0,0,0
5,7,1791,0,0,0,0,0,4,1,1,0,0,0,0,0
5,7,1800,0,0,0,0,0,4,1,1,0,0,0,0,0
5,4,1819,1,1,1,0,0,4,1,1,0,0,0,0,0
5,7,1785,0,0,0,0,0,4,1,1,0,0,0,0,0
7,6,1817,1,0,0,0,0,2,1,1,0,0,0,0,0
7,5,1812,1,0,0,0,0,2,1,1,0,0,0,0,0
8,4,1817,1,1,1,0,0,11,1,1,0,0,0,0,0
8,4,1814,1,1,1,0,0,11,1,8,2,2,2,0,0
8,4,1793,0,1,0,0,0,11,1,1,0,0,0,0,0
8,6,1819,1,0,0,0,0,11,1,1,0,0,0,0,0
9,7,1817,1,0,0,0,0,20,1,1,0,0,0,0,0
9,8,1820,1,1,1,0,0,20,1,1,0,0,0,0,0
9,4,1817,1,1,1,0,0,20,1,1,0,1,0,0,0
9,7,1802,1,0,0,0,0,20,1,1,0,0,0,0,0
9,4,1784,0,1,0,0,0,20,1,1,0,0,0,0,0
9,8,1818,1,1,1,0,0,20,1,1,0,0,0,0,0
9,7,1816,1,0,0,0,0,20,1,1,0,0,0,0,0
9,7,1815,1,0,0,0,0,20,1,1,0,0,0,0,0
9,7,1818,1,0,0,0,0,20,1,1,0,0,0,0,0
