"var","coef","stderr","tstat","pval","ci_lower","ci_upper","N","r2"
"y_11",0.380319148302078,0.302539467811584,1.25708937644958,0.209791764616966,-0.215278089046478,0.975916385650635,320,0.768556296825409
"y_12",0.00531914876773953,0.355103641748428,0.0149791445583105,0.98805969953537,-0.693759083747864,0.70439738035202,320,0.768556296825409
"y_13",1.00531911849976,0.591327011585236,1.70010685920715,0.0902455747127533,-0.158802509307861,2.16944074630737,320,0.768556296825409
"y_14",0.630319178104401,0.657260954380035,0.959008991718292,0.338399678468704,-0.663603961467743,1.9242422580719,320,0.768556296825409
"y_15",0.505319178104401,0.450219005346298,1.12238526344299,0.262681216001511,-0.381008803844452,1.3916472196579,320,0.768556296825409
"y_16",0.380319148302078,0.498773545026779,0.762508690357208,0.44641238451004,-0.601596176624298,1.36223447322845,320,0.768556296825409
"y_17",0.505319178104401,0.538567960262299,0.938264489173889,0.348934829235077,-0.554937839508057,1.56557619571686,320,0.768556296825409
"y_18",0.130319148302078,0.380732268095016,0.342285543680191,0.732398390769958,-0.619213104248047,0.879851400852203,320,0.768556296825409
"y_19",0.380319148302078,0.462419420480728,0.822454988956451,0.411533147096634,-0.530027329921722,1.29066562652588,320,0.768556296825409
"y_20",0.505319178104401,0.420106738805771,1.2028352022171,0.230078428983688,-0.321727991104126,1.33236634731293,320,0.768556296825409
"y_21",1.00531911849976,0.291499674320221,3.4487829208374,0.000651751935947686,0.431455463171005,1.57918274402618,320,0.768556296825409
"y_22",1.88031911849976,0.61110520362854,3.07691550254822,0.00230332836508751,0.677260994911194,3.08337736129761,320,0.768556296825409
"y_23",1.38031911849976,0.682383060455322,2.02279210090637,0.0440657064318657,0.0369391292333603,2.72369909286499,320,0.768556296825409
"y_24",1.75531911849976,0.760923683643341,2.30682682991028,0.0218104738742113,0.257319360971451,3.25331878662109,320,0.768556296825409
"y_25",1.63031911849976,0.545247673988342,2.99005246162415,0.00304275029338896,0.556912004947662,2.70372629165649,320,0.768556296825409
"y_26",0.380319148302078,0.434163361787796,0.875981688499451,0.381807267665863,-0.474400728940964,1.2350389957428,320,0.768556296825409
"y_27",0.880319178104401,0.267849534749985,3.28661823272705,0.0011461969697848,0.35301461815834,1.40762376785278,320,0.768556296825409
"y_28",1.50531911849976,0.499025017023087,3.01652026176453,0.00279713072814047,0.522908687591553,2.48772954940796,320,0.768556296825409
"y_29",1.25531911849976,0.437616109848022,2.86853957176208,0.0044445414096117,0.393801957368851,2.11683630943298,320,0.768556296825409
"y_30",2.00531911849976,0.611048579216003,3.28176712989807,0.00116533052641898,0.802372455596924,3.20826578140259,320,0.768556296825409
"y_31",0.755319178104401,0.341123551130295,2.21421003341675,0.0276375841349363,0.0837630107998848,1.4268753528595,320,0.768556296825409
"y_32",2.25531911849976,0.648169934749603,3.47951817512512,0.000584196939598769,0.97929310798645,3.53134512901306,320,0.768556296825409
"y_33",1.50531911849976,0.460798740386963,3.26676058769226,0.00122641399502754,0.598163247108459,2.41247510910034,320,0.768556296825409
"y_34",1.88031911849976,0.775535106658936,2.42454409599304,0.0159746836870909,0.353554457426071,3.40708374977112,320,0.768556296825409
"y_35",2.38031911849976,0.903048694133759,2.63587021827698,0.00887056719511747,0.602523624897003,4.15811443328857,320,0.768556296825409
"y_36",2.63031911849976,0.739708483219147,3.55588603019714,0.000443640135927126,1.17408490180969,4.0865535736084,320,0.768556296825409
"y_37",1.13031911849976,0.429976254701614,2.62879419326782,0.00905252620577812,0.283842206001282,1.97679603099823,320,0.768556296825409
"y_38",1.63031911849976,0.350112050771713,4.6565637588501,5.01766680827131e-06,0.941067636013031,2.31957054138184,320,0.768556296825409
"y_39",1.75531911849976,0.626842617988586,2.80025482177734,0.00546954572200775,0.521279335021973,2.98935890197754,320,0.768556296825409
"y_40",2.00531911849976,0.728440284729004,2.75289440155029,0.00630177929997444,0.571268141269684,3.43937015533447,320,0.768556296825409
