"state","year","copyright","post1801","copyright_post1801","repeated_count","season_count","state1"
"d_modena",1781,0,0,0,0.666666686534882,4.44444465637207,1
"d_modena",1782,0,0,0,1.33333337306976,4.44444465637207,1
"d_modena",1783,0,0,0,0,4.44444465637207,1
"d_modena",1784,0,0,0,0.666666686534882,4.44444465637207,1
"d_modena",1785,0,0,0,1,4.44444465637207,1
"d_modena",1786,0,0,0,1,4.44444465637207,1
"d_modena",1787,0,0,0,0,4.44444465637207,1
"d_modena",1788,0,0,0,0,4.44444465637207,1
"d_modena",1789,0,0,0,0.666666686534882,4.44444465637207,1
"d_modena",1790,0,0,0,0.333333343267441,4.44444465637207,1
"d_modena",1791,0,0,0,0,4.44444465637207,1
"d_modena",1792,0,0,0,0,4.44444465637207,1
"d_modena",1793,0,0,0,0,4.44444465637207,1
"d_modena",1794,0,0,0,1,4.44444465637207,1
"d_modena",1795,0,0,0,1.33333337306976,4.44444465637207,1
"d_modena",1796,0,0,0,1.33333337306976,4.44444465637207,1
"d_modena",1797,0,0,0,0.666666686534882,4.44444465637207,1
"d_modena",1798,0,0,0,0,4.44444465637207,1
"d_modena",1799,0,0,0,1.33333337306976,4.44444465637207,1
"d_modena",1800,0,0,0,0,4.44444465637207,1
"d_modena",1801,0,1,0,1.33333337306976,4.44444465637207,1
"d_modena",1802,0,1,0,0.333333343267441,4.44444465637207,1
"d_modena",1803,0,1,0,0.666666686534882,4.44444465637207,1
"d_modena",1804,0,1,0,1,4.44444465637207,1
"d_modena",1805,0,1,0,0,4.44444465637207,1
"d_modena",1806,0,1,0,1.33333337306976,4.44444465637207,1
"d_modena",1807,0,1,0,1,4.44444465637207,1
"d_modena",1808,0,1,0,0,4.44444465637207,1
"d_modena",1809,0,1,0,0.666666686534882,4.44444465637207,1
"d_modena",1810,0,1,0,0,4.44444465637207,1
"d_modena",1811,0,1,0,1.33333337306976,4.44444465637207,1
"d_modena",1812,0,1,0,0.333333343267441,4.44444465637207,1
"d_modena",1813,0,1,0,0.333333343267441,4.44444465637207,1
"d_modena",1814,0,1,0,0,4.44444465637207,1
"d_modena",1815,0,1,0,1.33333337306976,4.44444465637207,1
"d_modena",1816,0,1,0,0.666666686534882,4.44444465637207,1
"d_modena",1817,0,1,0,0,4.44444465637207,1
