"state","state1","year","copyright","post1801","copyright_post1801","operas","operas_annals","operas_met","operas_amazon","operas_lascala","operas_paris","operas_vienna","operas_buenos_aires","operas_no_milan","opera_nomi_nove","operas_novenice","linear_pretrend","pretrend_modena","pretrend_parma","pretrend_tuscany","pretrend_lombardy","pretrend_papal_state","pretrend_sardinia","pretrend_sicily","pretrend_venetia","cluster"
"papal_state",5,1804,0,1,0,4,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,10
"papal_state",5,1802,0,1,0,7,0,0,0,0,0,0,0,7,7,7,0,0,0,0,0,0,0,0,0,10
"d_modena",1,1812,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2
"d_modena",1,1785,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,5,0,0,0,0,0,0,0,1
"gd_tuscany",3,1797,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,17,0,0,0,0,0,5
"two_sicilies",7,1797,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,17,0,13
"papal_state",5,1817,0,1,0,2,1,1,1,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,10
"gd_tuscany",3,1813,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,6
"two_sicilies",7,1789,0,0,0,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,9,0,13
"papal_state",5,1814,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,10
"gd_tuscany",3,1812,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,6
"d_modena",1,1795,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,15,0,0,0,0,0,0,0,1
"sardinia",6,1811,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,12
"gd_tuscany",3,1803,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,6
"gd_tuscany",3,1810,0,1,0,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,6
"gd_tuscany",3,1809,0,1,0,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,6
"gd_tuscany",3,1796,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,16,0,0,0,0,0,5
"d_modena",1,1783,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,3,0,0,0,0,0,0,0,1
"d_modena",1,1805,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2
"sardinia",6,1800,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,20,0,0,11
"gd_tuscany",3,1801,0,1,0,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,6
"d_modena",1,1814,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2
"sardinia",6,1787,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,7,0,0,11
"d_parma",2,1789,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,9,0,0,0,0,0,0,3
"d_modena",1,1781,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1
"gd_tuscany",3,1814,0,1,0,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,6
"d_modena",1,1801,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2
"sardinia",6,1810,0,1,0,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,12
"d_modena",1,1818,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2
"venetia",8,1810,1,1,1,7,1,1,1,1,1,1,1,7,5,5,0,0,0,0,0,0,0,0,0,16
"venetia",8,1811,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16
"venetia",8,1794,1,0,0,1,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,0,0,0,14,15
"venetia",8,1815,1,1,1,4,0,0,1,1,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,16
"lombardy",4,1803,1,1,1,3,0,0,0,1,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,8
"lombardy",4,1813,1,1,1,6,0,0,0,0,0,1,0,3,3,6,0,0,0,0,0,0,0,0,0,8
"lombardy",4,1786,1,0,0,1,0,0,0,0,0,0,0,1,1,1,6,0,0,0,6,0,0,0,0,7
"lombardy",4,1783,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,3,0,0,0,0,7
"lombardy",4,1793,1,0,0,2,0,0,0,0,0,0,0,0,0,2,13,0,0,0,13,0,0,0,0,7
"venetia",8,1781,1,0,0,3,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,1,15
"lombardy",4,1784,1,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,4,0,0,0,0,7
"venetia",8,1818,1,1,1,3,0,0,0,1,0,1,1,3,2,2,0,0,0,0,0,0,0,0,0,16
"lombardy",4,1818,1,1,1,5,1,1,0,1,1,1,1,2,2,5,0,0,0,0,0,0,0,0,0,8
"venetia",8,1788,1,0,0,1,1,1,0,1,1,1,1,1,0,0,8,0,0,0,0,0,0,0,8,15
"venetia",8,1790,1,0,0,3,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,10,15
"venetia",8,1783,1,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,3,15
"venetia",8,1785,1,0,0,1,0,0,0,1,0,0,0,1,1,1,5,0,0,0,0,0,0,0,5,15
"venetia",8,1807,1,1,1,4,0,0,0,2,1,0,0,4,3,3,0,0,0,0,0,0,0,0,0,16
"lombardy",4,1820,1,1,1,4,0,0,1,1,1,0,0,4,4,4,0,0,0,0,0,0,0,0,0,8
"venetia",8,1796,1,0,0,5,2,1,1,1,1,1,1,5,0,0,16,0,0,0,0,0,0,0,16,15
"lombardy",4,1797,1,0,0,1,0,0,0,0,0,0,0,1,1,1,17,0,0,0,17,0,0,0,0,7
"venetia",8,1806,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,16
"venetia",8,1809,1,1,1,4,0,0,0,1,0,0,1,4,1,1,0,0,0,0,0,0,0,0,0,16
"venetia",8,1808,1,1,1,2,1,1,0,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,16
"lombardy",4,1792,1,0,0,1,0,0,0,0,0,0,0,1,1,1,12,0,0,0,12,0,0,0,0,7
"lombardy",4,1806,1,1,1,4,1,1,0,1,1,1,1,2,2,4,0,0,0,0,0,0,0,0,0,8
"lombardy",4,1798,1,0,0,1,0,0,0,0,0,0,0,1,1,1,18,0,0,0,18,0,0,0,0,7
"lombardy",4,1817,1,1,1,6,2,2,1,2,2,2,2,3,3,6,0,0,0,0,0,0,0,0,0,8
"lombardy",4,1815,1,1,1,9,0,0,0,2,2,1,1,2,2,9,0,0,0,0,0,0,0,0,0,8
"lombardy",4,1788,1,0,0,1,0,0,0,0,0,0,0,1,1,1,8,0,0,0,8,0,0,0,0,7
"venetia",8,1800,1,0,0,1,0,0,0,0,0,0,0,1,0,0,20,0,0,0,0,0,0,0,20,15
"venetia",8,1787,1,0,0,1,0,0,0,0,0,0,0,1,1,1,7,0,0,0,0,0,0,0,7,15
"lombardy",4,1782,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,7
"lombardy",4,1809,1,1,1,4,0,0,0,2,0,0,1,3,3,4,0,0,0,0,0,0,0,0,0,8
"lombardy",4,1814,1,1,1,8,2,2,2,2,2,2,2,2,2,8,0,0,0,0,0,0,0,0,0,8
"lombardy",4,1802,1,1,1,5,1,1,0,1,1,1,1,2,2,5,0,0,0,0,0,0,0,0,0,8
"venetia",8,1802,1,1,1,3,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,16
"venetia",8,1797,1,0,0,2,0,0,0,0,0,0,0,2,0,0,17,0,0,0,0,0,0,0,17,15
"lombardy",4,1816,1,1,1,7,0,0,0,2,1,2,2,2,2,7,0,0,0,0,0,0,0,0,0,8
"venetia",8,1804,1,1,1,8,2,2,0,2,1,1,1,8,2,2,0,0,0,0,0,0,0,0,0,16
"lombardy",4,1805,1,1,1,5,1,1,0,1,1,1,1,2,2,5,0,0,0,0,0,0,0,0,0,8
"lombardy",4,1811,1,1,1,4,0,0,0,1,0,1,1,2,2,4,0,0,0,0,0,0,0,0,0,8
"venetia",8,1798,1,0,0,1,0,0,0,0,0,0,0,1,1,1,18,0,0,0,0,0,0,0,18,15
"venetia",8,1789,1,0,0,1,0,0,0,0,0,0,0,1,1,1,9,0,0,0,0,0,0,0,9,15
"venetia",8,1803,1,1,1,8,1,1,0,1,1,1,1,8,4,4,0,0,0,0,0,0,0,0,0,16
"venetia",8,1816,1,1,1,4,2,2,0,2,1,1,2,4,2,2,0,0,0,0,0,0,0,0,0,16
"lombardy",4,1791,1,0,0,1,0,0,0,0,0,0,0,1,1,1,11,0,0,0,11,0,0,0,0,7
"venetia",8,1791,1,0,0,3,0,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,11,15
"lombardy",4,1819,1,1,1,5,1,1,1,1,1,1,1,2,2,5,0,0,0,0,0,0,0,0,0,8
"venetia",8,1819,1,1,1,3,0,1,2,1,1,1,0,3,2,2,0,0,0,0,0,0,0,0,0,16
"lombardy",4,1807,1,1,1,2,0,0,0,1,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,8
"venetia",8,1805,1,1,1,7,0,0,0,1,0,1,0,7,3,3,0,0,0,0,0,0,0,0,0,16
"lombardy",4,1781,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,7
"lombardy",4,1799,1,0,0,1,0,0,0,0,0,0,0,1,1,1,19,0,0,0,19,0,0,0,0,7
"venetia",8,1814,1,1,1,3,0,0,0,2,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,16
"venetia",8,1792,1,0,0,2,0,0,0,0,0,0,0,2,0,0,12,0,0,0,0,0,0,0,12,15
"lombardy",4,1810,1,1,1,5,0,0,0,2,1,0,0,2,2,5,0,0,0,0,0,0,0,0,0,8
"venetia",8,1813,1,1,1,4,3,3,3,3,2,1,2,4,2,2,0,0,0,0,0,0,0,0,0,16
"venetia",8,1820,1,1,1,2,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,16
"lombardy",4,1808,1,1,1,4,1,1,0,1,1,1,1,4,4,4,0,0,0,0,0,0,0,0,0,8
"lombardy",4,1789,1,0,0,1,0,0,0,0,0,0,0,1,1,1,9,0,0,0,9,0,0,0,0,7
"lombardy",4,1795,1,0,0,1,0,0,0,0,0,0,0,1,1,1,15,0,0,0,15,0,0,0,0,7
"venetia",8,1817,1,1,1,2,0,0,0,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,16
"lombardy",4,1785,1,0,0,1,0,0,0,0,0,0,0,1,1,1,5,0,0,0,5,0,0,0,0,7
"venetia",8,1782,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,15
"venetia",8,1799,1,0,0,1,0,0,0,0,0,0,0,1,1,1,19,0,0,0,0,0,0,0,19,15
"venetia",8,1784,1,0,0,1,0,0,0,0,0,0,0,1,1,1,4,0,0,0,0,0,0,0,4,15
"lombardy",4,1801,1,1,1,4,1,1,0,1,1,1,1,2,2,4,0,0,0,0,0,0,0,0,0,8
"venetia",8,1812,1,1,1,6,2,2,3,2,2,2,2,6,3,3,0,0,0,0,0,0,0,0,0,16
"venetia",8,1801,1,1,1,3,1,1,1,1,1,1,1,3,2,2,0,0,0,0,0,0,0,0,0,16
"lombardy",4,1790,1,0,0,1,0,0,0,0,0,0,0,1,1,1,10,0,0,0,10,0,0,0,0,7
"lombardy",4,1796,1,0,0,1,0,0,0,0,0,0,0,1,1,1,16,0,0,0,16,0,0,0,0,7
"lombardy",4,1812,1,1,1,8,0,0,1,0,0,0,1,2,2,8,0,0,0,0,0,0,0,0,0,8
"lombardy",4,1794,1,0,0,1,0,0,0,0,0,0,0,0,0,1,14,0,0,0,14,0,0,0,0,7
"venetia",8,1795,1,0,0,5,1,1,0,1,1,1,1,5,0,0,15,0,0,0,0,0,0,0,15,15
"venetia",8,1786,1,0,0,1,0,0,0,0,0,0,0,1,1,1,6,0,0,0,0,0,0,0,6,15
"lombardy",4,1804,1,1,1,5,0,0,0,0,1,0,0,5,5,5,0,0,0,0,0,0,0,0,0,8
"venetia",8,1793,1,0,0,7,1,1,0,1,1,1,1,7,0,0,13,0,0,0,0,0,0,0,13,15
"lombardy",4,1787,1,0,0,1,0,0,0,0,0,0,0,1,1,1,7,0,0,0,7,0,0,0,0,7
"lombardy",4,1800,1,0,0,1,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,0,7
